percentile_rank,metric_value,branch
0.97,7885.0,treatment-b
0.98,10194.0,treatment-b
0.99,15382.0,treatment-b
1.0,1562670101.0,treatment-b
0.0,3.0,treatment-c
0.01,69.0,treatment-c
0.02,102.0,treatment-c
0.03,126.0,treatment-c
0.04,147.0,treatment-c
0.05,167.0,treatment-c
0.06,187.0,treatment-c
0.07,208.0,treatment-c
0.08,227.0,treatment-c
0.09,247.0,treatment-c
0.1,265.0,treatment-c
0.11,283.0,treatment-c
0.12,300.0,treatment-c
0.13,318.0,treatment-c
0.14,335.0,treatment-c
0.15,352.0,treatment-c
0.16,369.0,treatment-c
0.17,387.0,treatment-c
0.18,404.0,treatment-c
0.19,421.0,treatment-c
0.2,438.0,treatment-c
0.21,455.0,treatment-c
0.22,472.0,treatment-c
0.23,489.0,treatment-c
0.24,505.0,treatment-c
0.25,522.0,treatment-c
0.26,538.0,treatment-c
0.27,555.0,treatment-c
0.28,572.0,treatment-c
0.29,588.0,treatment-c
0.3,604.0,treatment-c
0.31,621.0,treatment-c
0.32,638.0,treatment-c
0.33,655.0,treatment-c
0.34,672.0,treatment-c
0.35,690.0,treatment-c
0.36,708.0,treatment-c
0.37,726.0,treatment-c
0.38,746.0,treatment-c
0.39,765.0,treatment-c
0.4,785.0,treatment-c
0.41,806.0,treatment-c
0.42,827.0,treatment-c
0.43,849.0,treatment-c
0.44,872.0,treatment-c
0.45,895.0,treatment-c
0.46,918.0,treatment-c
0.47,942.0,treatment-c
0.48,967.0,treatment-c
0.49,994.0,treatment-c
0.5,1020.0,treatment-c
0.51,1048.0,treatment-c
0.52,1075.0,treatment-c
0.53,1105.0,treatment-c
0.54,1134.0,treatment-c
0.55,1165.0,treatment-c
0.56,1195.0,treatment-c
0.57,1228.0,treatment-c
0.58,1259.0,treatment-c
0.59,1294.0,treatment-c
0.6,1329.0,treatment-c
0.61,1364.0,treatment-c
0.62,1402.0,treatment-c
0.63,1439.0,treatment-c
0.64,1481.0,treatment-c
0.65,1522.0,treatment-c
0.66,1566.0,treatment-c
0.67,1609.0,treatment-c
0.68,1657.0,treatment-c
0.69,1704.0,treatment-c
0.7,1753.0,treatment-c
0.71,1807.0,treatment-c
0.72,1862.0,treatment-c
0.73,1922.0,treatment-c
0.74,1982.0,treatment-c
0.75,2047.0,treatment-c
0.76,2115.0,treatment-c
0.77,2189.0,treatment-c
0.78,2265.0,treatment-c
0.79,2348.0,treatment-c
0.8,2436.0,treatment-c
0.81,2529.0,treatment-c
0.82,2633.0,treatment-c
0.83,2741.0,treatment-c
0.84,2863.0,treatment-c
0.85,2989.0,treatment-c
0.86,3129.0,treatment-c
0.87,3277.0,treatment-c
0.88,3444.0,treatment-c
0.89,3637.0,treatment-c
0.9,3847.0,treatment-c
0.91,4103.0,treatment-c
0.92,4395.0,treatment-c
0.93,4748.0,treatment-c
0.94,5232.0,treatment-c
0.95,5835.0,treatment-c
0.96,6730.0,treatment-c
0.97,7979.0,treatment-c
0.98,10291.0,treatment-c
0.99,15674.0,treatment-c
1.0,733314371.0,treatment-c
